Time (s),InputForce (N), Displacement (mm) 
0 , 300 , 0.317002018160045
0.005 , 296.3064 , 0.25879527329811
0.01 , 285.3171 , 0.194216129915306
0.015 , 267.3021 , 0.124854740847606
0.02 , 242.7051 , 0.0524190136911102
0.025 , 212.1321 , -0.0213074435511931
0.03 , 176.3355 , -0.0945092408179152
0.035 , 136.197 , -0.165383906917513
0.04 , 92.7051 , -0.232186272351082
0.045 , 46.9302 , -0.29327144117731
0.05 , 0 , -0.347135293809641
0.055 , -46.9302 , -0.39245152343239
0.06 , -92.7051 , -0.428104294076301
0.065 , -136.197 , -0.45321571620336
0.07 , -176.3355 , -0.467167463260765
0.075 , -212.1321 , -0.469615996932771
0.08 , -242.7051 , -0.460501026194154
0.085 , -267.3021 , -0.440046991875353
0.09 , -285.3171 , -0.408757540184345
0.095 , -296.3064 , -0.367403121265499
0.1 , -300 , -0.317002018160045
0.105 , -296.3064 , -0.25879527329811
0.11 , -285.3171 , -0.194216129915306
0.115 , -267.3021 , -0.124854740847606
0.12 , -242.7051 , -0.0524190136911103
0.125 , -212.1321 , 0.021307443551193
0.13 , -176.3355 , 0.094509240817915
0.135 , -136.197 , 0.165383906917513
0.14 , -92.7051 , 0.232186272351082
0.145 , -46.9302 , 0.29327144117731
0.15 , 0 , 0.347135293809641
0.155 , 46.9302 , 0.39245152343239
0.16 , 92.7051 , 0.428104294076301
0.165 , 136.197 , 0.45321571620336
0.17 , 176.3355 , 0.467167463260765
0.175 , 212.1321 , 0.469615996932771
0.18 , 242.7051 , 0.460501026194154
0.185 , 267.3021 , 0.440046991875353
0.19 , 285.3171 , 0.408757540184345
0.195 , 296.3064 , 0.367403121265499
0.2 , 300 , 0.317002018160045
0.205 , 296.3064 , 0.25879527329811
0.21 , 285.3171 , 0.194216129915306
0.215 , 267.3021 , 0.124854740847606
0.22 , 242.7051 , 0.0524190136911104
0.225 , 212.1321 , -0.0213074435511929
0.23 , 176.3355 , -0.094509240817915
0.235 , 136.197 , -0.165383906917513
0.24 , 92.7051 , -0.232186272351082
0.245 , 46.9302 , -0.29327144117731
0.25 , 0 , -0.347135293809641
0.255 , -46.9302 , -0.39245152343239
0.26 , -92.7051 , -0.428104294076301
0.265 , -136.197 , -0.45321571620336
0.27 , -176.3355 , -0.467167463260765
0.275 , -212.1321 , -0.469615996932771
