Time (s),InputForce (N), Displacement (mm) 
0 , 300 , NaN
0.005 , 296.3064 , NaN
0.01 , 285.3171 , NaN
0.015 , 267.3021 , NaN
0.02 , 242.7051 , NaN
0.025 , 212.1321 , NaN
0.03 , 176.3355 , NaN
0.035 , 136.197 , NaN
0.04 , 92.7051 , NaN
0.045 , 46.9302 , NaN
0.05 , 0 , NaN
0.055 , -46.9302 , NaN
0.06 , -92.7051 , NaN
0.065 , -136.197 , NaN
0.07 , -176.3355 , NaN
0.075 , -212.1321 , NaN
0.08 , -242.7051 , NaN
0.085 , -267.3021 , NaN
0.09 , -285.3171 , NaN
0.095 , -296.3064 , NaN
0.1 , -300 , NaN
0.105 , -296.3064 , NaN
0.11 , -285.3171 , NaN
0.115 , -267.3021 , NaN
0.12 , -242.7051 , NaN
0.125 , -212.1321 , NaN
0.13 , -176.3355 , NaN
0.135 , -136.197 , NaN
0.14 , -92.7051 , NaN
0.145 , -46.9302 , NaN
0.15 , 0 , NaN
0.155 , 46.9302 , NaN
0.16 , 92.7051 , NaN
0.165 , 136.197 , NaN
0.17 , 176.3355 , NaN
0.175 , 212.1321 , NaN
0.18 , 242.7051 , NaN
0.185 , 267.3021 , NaN
0.19 , 285.3171 , NaN
0.195 , 296.3064 , NaN
0.2 , 300 , NaN
0.205 , 296.3064 , NaN
0.21 , 285.3171 , NaN
0.215 , 267.3021 , NaN
0.22 , 242.7051 , NaN
0.225 , 212.1321 , NaN
0.23 , 176.3355 , NaN
0.235 , 136.197 , NaN
0.24 , 92.7051 , NaN
0.245 , 46.9302 , NaN
0.25 , 0 , NaN
0.255 , -46.9302 , NaN
0.26 , -92.7051 , NaN
0.265 , -136.197 , NaN
0.27 , -176.3355 , NaN
0.275 , -212.1321 , NaN
0.28 , -242.7051 , NaN
0.285 , -267.3021 , NaN
0.29 , -285.3171 , NaN
0.295 , -296.3064 , NaN
0.3 , -300 , NaN
0.305 , -296.3064 , NaN
0.31 , -285.3171 , NaN
0.315 , -267.3021 , NaN
0.32 , -242.7051 , NaN
0.325 , -212.1321 , NaN
0.33 , -176.3355 , NaN
0.335 , -136.197 , NaN
0.34 , -92.7051 , NaN
0.345 , -46.9302 , NaN
0.35 , 0 , NaN
0.355 , 46.9302 , NaN
0.36 , 92.7051 , NaN
0.365 , 136.197 , NaN
0.37 , 176.3355 , NaN
0.375 , 212.1321 , NaN
0.38 , 242.7051 , NaN
0.385 , 267.3021 , NaN
0.39 , 285.3171 , NaN
0.395 , 296.3064 , NaN
0.4 , 300 , NaN
0.405 , 296.3064 , NaN
0.41 , 285.3171 , NaN
0.415 , 267.3021 , NaN
0.42 , 242.7051 , NaN
0.425 , 212.1321 , NaN
0.43 , 176.3355 , NaN
0.435 , 136.197 , NaN
0.44 , 92.7051 , NaN
0.445 , 46.9302 , NaN
0.45 , 0 , NaN
0.455 , -46.9302 , NaN
0.46 , -92.7051 , NaN
0.465 , -136.197 , NaN
0.47 , -176.3355 , NaN
0.475 , -212.1321 , NaN
0.48 , -242.7051 , NaN
0.485 , -267.3021 , NaN
0.49 , -285.3171 , NaN
0.495 , -296.3064 , NaN
0.5 , -300 , NaN
0.505 , -296.3064 , NaN
0.51 , -285.3171 , NaN
0.515 , -267.3021 , NaN
0.52 , -242.7051 , NaN
0.525 , -212.1321 , NaN
0.53 , -176.3355 , NaN
0.535 , -136.197 , NaN
0.54 , -92.7051 , NaN
0.545 , -46.9302 , NaN
0.55 , 0 , NaN
0.555 , 46.9302 , NaN
0.56 , 92.7051 , NaN
0.565 , 136.197 , NaN
0.57 , 176.3355 , NaN
0.575 , 212.1321 , NaN
0.58 , 242.7051 , NaN
0.585 , 267.3021 , NaN
0.59 , 285.3171 , NaN
0.595 , 296.3064 , NaN
0.6 , 300 , NaN
0.605 , 296.3064 , NaN
0.61 , 285.3171 , NaN
0.615 , 267.3021 , NaN
0.62 , 242.7051 , NaN
0.625 , 212.1321 , NaN
0.63 , 176.3355 , NaN
0.635 , 136.197 , NaN
0.64 , 92.7051 , NaN
0.645 , 46.9302 , NaN
0.65 , 0 , NaN
0.655 , -46.9302 , NaN
0.66 , -92.7051 , NaN
0.665 , -136.197 , NaN
0.67 , -176.3355 , NaN
0.675 , -212.1321 , NaN
0.68 , -242.7051 , NaN
0.685 , -267.3021 , NaN
0.69 , -285.3171 , NaN
0.695 , -296.3064 , NaN
0.7 , -300 , NaN
0.705 , -296.3064 , NaN
0.71 , -285.3171 , NaN
0.715 , -267.3021 , NaN
0.72 , -242.7051 , NaN
0.725 , -212.1321 , NaN
0.73 , -176.3355 , NaN
0.735 , -136.197 , NaN
0.74 , -92.7051 , NaN
0.745 , -46.9302 , NaN
0.75 , 0 , NaN
0.755 , 46.9302 , NaN
0.76 , 92.7051 , NaN
0.765 , 136.197 , NaN
0.77 , 176.3355 , NaN
0.775 , 212.1321 , NaN
0.78 , 242.7051 , NaN
0.785 , 267.3021 , NaN
0.79 , 285.3171 , NaN
0.795 , 296.3064 , NaN
0.8 , 300 , NaN
0.805 , 296.3064 , NaN
0.81 , 285.3171 , NaN
0.815 , 267.3021 , NaN
0.82 , 242.7051 , NaN
0.825 , 212.1321 , NaN
0.83 , 176.3355 , NaN
0.835 , 136.197 , NaN
0.84 , 92.7051 , NaN
0.845 , 46.9302 , NaN
0.85 , 0 , NaN
0.855 , -46.9302 , NaN
0.86 , -92.7051 , NaN
0.865 , -136.197 , NaN
0.87 , -176.3355 , NaN
0.875 , -212.1321 , NaN
0.88 , -242.7051 , NaN
0.885 , -267.3021 , NaN
0.89 , -285.3171 , NaN
0.895 , -296.3064 , NaN
0.9 , -300 , NaN
0.905 , -296.3064 , NaN
0.91 , -285.3171 , NaN
0.915 , -267.3021 , NaN
0.92 , -242.7051 , NaN
0.925 , -212.1321 , NaN
0.93 , -176.3355 , NaN
0.935 , -136.197 , NaN
0.94 , -92.7051 , NaN
0.945 , -46.9302 , NaN
0.95 , 0 , NaN
0.955 , 46.9302 , NaN
0.96 , 92.7051 , NaN
0.965 , 136.197 , NaN
0.97 , 176.3355 , NaN
0.975 , 212.1321 , NaN
0.98 , 242.7051 , NaN
0.985 , 267.3021 , NaN
0.99 , 285.3171 , NaN
0.995 , 296.3064 , NaN
1 , 300 , NaN
1.005 , 296.3064 , NaN
1.01 , 285.3171 , NaN
1.015 , 267.3021 , NaN
1.02 , 242.7051 , NaN
1.025 , 212.1321 , NaN
1.03 , 176.3355 , NaN
1.035 , 136.197 , NaN
1.04 , 92.7051 , NaN
1.045 , 46.9302 , NaN
1.05 , 0 , NaN
1.055 , -46.9302 , NaN
1.06 , -92.7051 , NaN
1.065 , -136.197 , NaN
1.07 , -176.3355 , NaN
1.075 , -212.1321 , NaN
1.08 , -242.7051 , NaN
1.085 , -267.3021 , NaN
1.09 , -285.3171 , NaN
1.095 , -296.3064 , NaN
1.1 , -300 , NaN
1.105 , -296.3064 , NaN
1.11 , -285.3171 , NaN
1.115 , -267.3021 , NaN
1.12 , -242.7051 , NaN
1.125 , -212.1321 , NaN
1.13 , -176.3355 , NaN
1.135 , -136.197 , NaN
1.14 , -92.7051 , NaN
1.145 , -46.9302 , NaN
1.15 , 0 , NaN
1.155 , 46.9302 , NaN
1.16 , 92.7051 , NaN
1.165 , 136.197 , NaN
1.17 , 176.3355 , NaN
1.175 , 212.1321 , NaN
1.18 , 242.7051 , NaN
1.185 , 267.3021 , NaN
1.19 , 285.3171 , NaN
1.195 , 296.3064 , NaN
1.2 , 300 , NaN
1.205 , 296.3064 , NaN
1.21 , 285.3171 , NaN
1.215 , 267.3021 , NaN
1.22 , 242.7051 , NaN
1.225 , 212.1321 , NaN
1.23 , 176.3355 , NaN
1.235 , 136.197 , NaN
1.24 , 92.7051 , NaN
1.245 , 46.9302 , NaN
1.25 , 0 , NaN
1.255 , -46.9302 , NaN
1.26 , -92.7051 , NaN
1.265 , -136.197 , NaN
1.27 , -176.3355 , NaN
1.275 , -212.1321 , NaN
1.28 , -242.7051 , NaN
1.285 , -267.3021 , NaN
1.29 , -285.3171 , NaN
1.295 , -296.3064 , NaN
1.3 , -300 , NaN
1.305 , -296.3064 , NaN
1.31 , -285.3171 , NaN
1.315 , -267.3021 , NaN
1.32 , -242.7051 , NaN
1.325 , -212.1321 , NaN
1.33 , -176.3355 , NaN
1.335 , -136.197 , NaN
1.34 , -92.7051 , NaN
1.345 , -46.9302 , NaN
1.35 , 0 , NaN
1.355 , 46.9302 , NaN
1.36 , 92.7051 , NaN
1.365 , 136.197 , NaN
1.37 , 176.3355 , NaN
1.375 , 212.1321 , NaN
1.38 , 242.7051 , NaN
1.385 , 267.3021 , NaN
1.39 , 285.3171 , NaN
1.395 , 296.3064 , NaN
1.4 , 300 , NaN
1.405 , 296.3064 , NaN
1.41 , 285.3171 , NaN
1.415 , 267.3021 , NaN
1.42 , 242.7051 , NaN
1.425 , 212.1321 , NaN
1.43 , 176.3355 , NaN
1.435 , 136.197 , NaN
1.44 , 92.7051 , NaN
1.445 , 46.9302 , NaN
1.45 , 0 , NaN
1.455 , -46.9302 , NaN
1.46 , -92.7051 , NaN
1.465 , -136.197 , NaN
1.47 , -176.3355 , NaN
1.475 , -212.1321 , NaN
1.48 , -242.7051 , NaN
1.485 , -267.3021 , NaN
1.49 , -285.3171 , NaN
1.495 , -296.3064 , NaN
1.5 , -300 , NaN
1.505 , -296.3064 , NaN
1.51 , -285.3171 , NaN
1.515 , -267.3021 , NaN
1.52 , -242.7051 , NaN
1.525 , -212.1321 , NaN
1.53 , -176.3355 , NaN
1.535 , -136.197 , NaN
1.54 , -92.7051 , NaN
1.545 , -46.9302 , NaN
1.55 , 0 , NaN
1.555 , 46.9302 , NaN
1.56 , 92.7051 , NaN
1.565 , 136.197 , NaN
1.57 , 176.3355 , NaN
1.575 , 212.1321 , NaN
1.58 , 242.7051 , NaN
1.585 , 267.3021 , NaN
1.59 , 285.3171 , NaN
1.595 , 296.3064 , NaN
1.6 , 300 , NaN
1.605 , 296.3064 , NaN
1.61 , 285.3171 , NaN
1.615 , 267.3021 , NaN
1.62 , 242.7051 , NaN
1.625 , 212.1321 , NaN
1.63 , 176.3355 , NaN
1.635 , 136.197 , NaN
1.64 , 92.7051 , NaN
1.645 , 46.9302 , NaN
1.65 , 0 , NaN
1.655 , -46.9302 , NaN
1.66 , -92.7051 , NaN
1.665 , -136.197 , NaN
1.67 , -176.3355 , NaN
1.675 , -212.1321 , NaN
1.68 , -242.7051 , NaN
1.685 , -267.3021 , NaN
1.69 , -285.3171 , NaN
1.695 , -296.3064 , NaN
1.7 , -300 , NaN
1.705 , -296.3064 , NaN
1.71 , -285.3171 , NaN
1.715 , -267.3021 , NaN
1.72 , -242.7051 , NaN
1.725 , -212.1321 , NaN
1.73 , -176.3355 , NaN
1.735 , -136.197 , NaN
1.74 , -92.7051 , NaN
1.745 , -46.9302 , NaN
1.75 , 0 , NaN
1.755 , 46.9302 , NaN
1.76 , 92.7051 , NaN
1.765 , 136.197 , NaN
1.77 , 176.3355 , NaN
1.775 , 212.1321 , NaN
1.78 , 242.7051 , NaN
1.785 , 267.3021 , NaN
1.79 , 285.3171 , NaN
1.795 , 296.3064 , NaN
1.8 , 300 , NaN
1.805 , 296.3064 , NaN
1.81 , 285.3171 , NaN
1.815 , 267.3021 , NaN
1.82 , 242.7051 , NaN
1.825 , 212.1321 , NaN
1.83 , 176.3355 , NaN
1.835 , 136.197 , NaN
1.84 , 92.7051 , NaN
1.845 , 46.9302 , NaN
1.85 , 0 , NaN
1.855 , -46.9302 , NaN
1.86 , -92.7051 , NaN
1.865 , -136.197 , NaN
1.87 , -176.3355 , NaN
1.875 , -212.1321 , NaN
1.88 , -242.7051 , NaN
1.885 , -267.3021 , NaN
1.89 , -285.3171 , NaN
1.895 , -296.3064 , NaN
1.9 , -300 , NaN
1.905 , -296.3064 , NaN
1.91 , -285.3171 , NaN
1.915 , -267.3021 , NaN
1.92 , -242.7051 , NaN
1.925 , -212.1321 , NaN
1.93 , -176.3355 , NaN
1.935 , -136.197 , NaN
1.94 , -92.7051 , NaN
1.945 , -46.9302 , NaN
1.95 , 0 , NaN
1.955 , 46.9302 , NaN
1.96 , 92.7051 , NaN
1.965 , 136.197 , NaN
1.97 , 176.3355 , NaN
1.975 , 212.1321 , NaN
1.98 , 242.7051 , NaN
1.985 , 267.3021 , NaN
1.99 , 285.3171 , NaN
1.995 , 296.3064 , NaN
2 , 300 , NaN
2.005 , 296.3064 , NaN
2.01 , 285.3171 , NaN
2.015 , 267.3021 , NaN
2.02 , 242.7051 , NaN
2.025 , 212.1321 , NaN
2.03 , 176.3355 , NaN
2.035 , 136.197 , NaN
2.04 , 92.7051 , NaN
2.045 , 46.9302 , NaN
2.05 , 0 , NaN
2.055 , -46.9302 , NaN
2.06 , -92.7051 , NaN
2.065 , -136.197 , NaN
2.07 , -176.3355 , NaN
2.075 , -212.1321 , NaN
2.08 , -242.7051 , NaN
2.085 , -267.3021 , NaN
2.09 , -285.3171 , NaN
2.095 , -296.3064 , NaN
2.1 , -300 , NaN
2.105 , -296.3064 , NaN
2.11 , -285.3171 , NaN
2.115 , -267.3021 , NaN
2.12 , -242.7051 , NaN
2.125 , -212.1321 , NaN
2.13 , -176.3355 , NaN
2.135 , -136.197 , NaN
2.14 , -92.7051 , NaN
2.145 , -46.9302 , NaN
2.15 , 0 , NaN
2.155 , 46.9302 , NaN
2.16 , 92.7051 , NaN
2.165 , 136.197 , NaN
2.17 , 176.3355 , NaN
2.175 , 212.1321 , NaN
2.18 , 242.7051 , NaN
2.185 , 267.3021 , NaN
2.19 , 285.3171 , NaN
2.195 , 296.3064 , NaN
2.2 , 300 , NaN
2.205 , 296.3064 , NaN
2.21 , 285.3171 , NaN
2.215 , 267.3021 , NaN
2.22 , 242.7051 , NaN
2.225 , 212.1321 , NaN
2.23 , 176.3355 , NaN
2.235 , 136.197 , NaN
2.24 , 92.7051 , NaN
2.245 , 46.9302 , NaN
2.25 , 0 , NaN
2.255 , -46.9302 , NaN
2.26 , -92.7051 , NaN
2.265 , -136.197 , NaN
2.27 , -176.3355 , NaN
2.275 , -212.1321 , NaN
2.28 , -242.7051 , NaN
2.285 , -267.3021 , NaN
2.29 , -285.3171 , NaN
2.295 , -296.3064 , NaN
2.3 , -300 , NaN
2.305 , -296.3064 , NaN
2.31 , -285.3171 , NaN
2.315 , -267.3021 , NaN
2.32 , -242.7051 , NaN
2.325 , -212.1321 , NaN
2.33 , -176.3355 , NaN
2.335 , -136.197 , NaN
2.34 , -92.7051 , NaN
2.345 , -46.9302 , NaN
2.35 , 0 , NaN
2.355 , 46.9302 , NaN
2.36 , 92.7051 , NaN
2.365 , 136.197 , NaN
2.37 , 176.3355 , NaN
2.375 , 212.1321 , NaN
2.38 , 242.7051 , NaN
2.385 , 267.3021 , NaN
2.39 , 285.3171 , NaN
2.395 , 296.3064 , NaN
2.4 , 300 , NaN
2.405 , 296.3064 , NaN
2.41 , 285.3171 , NaN
2.415 , 267.3021 , NaN
2.42 , 242.7051 , NaN
2.425 , 212.1321 , NaN
2.43 , 176.3355 , NaN
2.435 , 136.197 , NaN
2.44 , 92.7051 , NaN
2.445 , 46.9302 , NaN
2.45 , 0 , NaN
2.455 , -46.9302 , NaN
2.46 , -92.7051 , NaN
2.465 , -136.197 , NaN
2.47 , -176.3355 , NaN
2.475 , -212.1321 , NaN
2.48 , -242.7051 , NaN
2.485 , -267.3021 , NaN
2.49 , -285.3171 , NaN
2.495 , -296.3064 , NaN
2.5 , -300 , NaN
2.505 , -296.3064 , NaN
2.51 , -285.3171 , NaN
2.515 , -267.3021 , NaN
2.52 , -242.7051 , NaN
2.525 , -212.1321 , NaN
2.53 , -176.3355 , NaN
2.535 , -136.197 , NaN
2.54 , -92.7051 , NaN
2.545 , -46.9302 , NaN
2.55 , 0 , NaN
2.555 , 46.9302 , NaN
2.56 , 92.7051 , NaN
2.565 , 136.197 , NaN
2.57 , 176.3355 , NaN
2.575 , 212.1321 , NaN
2.58 , 242.7051 , NaN
2.585 , 267.3021 , NaN
2.59 , 285.3171 , NaN
2.595 , 296.3064 , NaN
2.6 , 300 , NaN
2.605 , 296.3064 , NaN
2.61 , 285.3171 , NaN
2.615 , 267.3021 , NaN
2.62 , 242.7051 , NaN
2.625 , 212.1321 , NaN
2.63 , 176.3355 , NaN
2.635 , 136.197 , NaN
2.64 , 92.7051 , NaN
2.645 , 46.9302 , NaN
2.65 , 0 , NaN
2.655 , -46.9302 , NaN
2.66 , -92.7051 , NaN
2.665 , -136.197 , NaN
2.67 , -176.3355 , NaN
2.675 , -212.1321 , NaN
2.68 , -242.7051 , NaN
2.685 , -267.3021 , NaN
2.69 , -285.3171 , NaN
2.695 , -296.3064 , NaN
2.7 , -300 , NaN
2.705 , -296.3064 , NaN
2.71 , -285.3171 , NaN
2.715 , -267.3021 , NaN
2.72 , -242.7051 , NaN
2.725 , -212.1321 , NaN
2.73 , -176.3355 , NaN
2.735 , -136.197 , NaN
2.74 , -92.7051 , NaN
2.745 , -46.9302 , NaN
2.75 , 0 , NaN
2.755 , 46.9302 , NaN
2.76 , 92.7051 , NaN
2.765 , 136.197 , NaN
2.77 , 176.3355 , NaN
2.775 , 212.1321 , NaN
2.78 , 242.7051 , NaN
2.785 , 267.3021 , NaN
2.79 , 285.3171 , NaN
2.795 , 296.3064 , NaN
2.8 , 300 , NaN
2.805 , 296.3064 , NaN
2.81 , 285.3171 , NaN
2.815 , 267.3021 , NaN
2.82 , 242.7051 , NaN
2.825 , 212.1321 , NaN
2.83 , 176.3355 , NaN
2.835 , 136.197 , NaN
2.84 , 92.7051 , NaN
2.845 , 46.9302 , NaN
2.85 , 0 , NaN
2.855 , -46.9302 , NaN
2.86 , -92.7051 , NaN
2.865 , -136.197 , NaN
2.87 , -176.3355 , NaN
2.875 , -212.1321 , NaN
2.88 , -242.7051 , NaN
2.885 , -267.3021 , NaN
2.89 , -285.3171 , NaN
2.895 , -296.3064 , NaN
2.9 , -300 , NaN
2.905 , -296.3064 , NaN
2.91 , -285.3171 , NaN
2.915 , -267.3021 , NaN
2.92 , -242.7051 , NaN
2.925 , -212.1321 , NaN
2.93 , -176.3355 , NaN
2.935 , -136.197 , NaN
2.94 , -92.7051 , NaN
2.945 , -46.9302 , NaN
2.95 , 0 , NaN
2.955 , 46.9302 , NaN
2.96 , 92.7051 , NaN
2.965 , 136.197 , NaN
2.97 , 176.3355 , NaN
2.975 , 212.1321 , NaN
2.98 , 242.7051 , NaN
2.985 , 267.3021 , NaN
2.99 , 285.3171 , NaN
2.995 , 296.3064 , NaN
3 , 300 , NaN
3.005 , 296.3064 , NaN
3.01 , 285.3171 , NaN
3.015 , 267.3021 , NaN
3.02 , 242.7051 , NaN
3.025 , 212.1321 , NaN
3.03 , 176.3355 , NaN
3.035 , 136.197 , NaN
3.04 , 92.7051 , NaN
3.045 , 46.9302 , NaN
3.05 , 0 , NaN
3.055 , -46.9302 , NaN
3.06 , -92.7051 , NaN
3.065 , -136.197 , NaN
3.07 , -176.3355 , NaN
3.075 , -212.1321 , NaN
3.08 , -242.7051 , NaN
3.085 , -267.3021 , NaN
3.09 , -285.3171 , NaN
3.095 , -296.3064 , NaN
3.1 , -300 , NaN
3.105 , -296.3064 , NaN
3.11 , -285.3171 , NaN
3.115 , -267.3021 , NaN
3.12 , -242.7051 , NaN
3.125 , -212.1321 , NaN
3.13 , -176.3355 , NaN
3.135 , -136.197 , NaN
3.14 , -92.7051 , NaN
3.145 , -46.9302 , NaN
3.15 , 0 , NaN
3.155 , 46.9302 , NaN
3.16 , 92.7051 , NaN
3.165 , 136.197 , NaN
3.17 , 176.3355 , NaN
3.175 , 212.1321 , NaN
3.18 , 242.7051 , NaN
3.185 , 267.3021 , NaN
3.19 , 285.3171 , NaN
3.195 , 296.3064 , NaN
3.2 , 300 , NaN
3.205 , 296.3064 , NaN
3.21 , 285.3171 , NaN
3.215 , 267.3021 , NaN
3.22 , 242.7051 , NaN
3.225 , 212.1321 , NaN
3.23 , 176.3355 , NaN
3.235 , 136.197 , NaN
3.24 , 92.7051 , NaN
3.245 , 46.9302 , NaN
3.25 , 0 , NaN
3.255 , -46.9302 , NaN
3.26 , -92.7051 , NaN
3.265 , -136.197 , NaN
3.27 , -176.3355 , NaN
3.275 , -212.1321 , NaN
3.28 , -242.7051 , NaN
3.285 , -267.3021 , NaN
3.29 , -285.3171 , NaN
3.295 , -296.3064 , NaN
3.3 , -300 , NaN
3.305 , -296.3064 , NaN
3.31 , -285.3171 , NaN
3.315 , -267.3021 , NaN
3.32 , -242.7051 , NaN
3.325 , -212.1321 , NaN
3.33 , -176.3355 , NaN
3.335 , -136.197 , NaN
3.34 , -92.7051 , NaN
3.345 , -46.9302 , NaN
3.35 , 0 , NaN
3.355 , 46.9302 , NaN
3.36 , 92.7051 , NaN
3.365 , 136.197 , NaN
3.37 , 176.3355 , NaN
3.375 , 212.1321 , NaN
3.38 , 242.7051 , NaN
3.385 , 267.3021 , NaN
3.39 , 285.3171 , NaN
3.395 , 296.3064 , NaN
3.4 , 300 , NaN
3.405 , 296.3064 , NaN
3.41 , 285.3171 , NaN
3.415 , 267.3021 , NaN
3.42 , 242.7051 , NaN
3.425 , 212.1321 , NaN
3.43 , 176.3355 , NaN
3.435 , 136.197 , NaN
3.44 , 92.7051 , NaN
3.445 , 46.9302 , NaN
3.45 , 0 , NaN
3.455 , -46.9302 , NaN
3.46 , -92.7051 , NaN
3.465 , -136.197 , NaN
3.47 , -176.3355 , NaN
3.475 , -212.1321 , NaN
3.48 , -242.7051 , NaN
3.485 , -267.3021 , NaN
3.49 , -285.3171 , NaN
3.495 , -296.3064 , NaN
3.5 , -300 , NaN
3.505 , -296.3064 , NaN
3.51 , -285.3171 , NaN
3.515 , -267.3021 , NaN
3.52 , -242.7051 , NaN
3.525 , -212.1321 , NaN
3.53 , -176.3355 , NaN
3.535 , -136.197 , NaN
3.54 , -92.7051 , NaN
3.545 , -46.9302 , NaN
3.55 , 0 , NaN
3.555 , 46.9302 , NaN
3.56 , 92.7051 , NaN
3.565 , 136.197 , NaN
3.57 , 176.3355 , NaN
3.575 , 212.1321 , NaN
3.58 , 242.7051 , NaN
3.585 , 267.3021 , NaN
3.59 , 285.3171 , NaN
3.595 , 296.3064 , NaN
3.6 , 300 , NaN
3.605 , 296.3064 , NaN
3.61 , 285.3171 , NaN
3.615 , 267.3021 , NaN
3.62 , 242.7051 , NaN
3.625 , 212.1321 , NaN
3.63 , 176.3355 , NaN
3.635 , 136.197 , NaN
3.64 , 92.7051 , NaN
3.645 , 46.9302 , NaN
3.65 , 0 , NaN
3.655 , -46.9302 , NaN
3.66 , -92.7051 , NaN
3.665 , -136.197 , NaN
3.67 , -176.3355 , NaN
3.675 , -212.1321 , NaN
3.68 , -242.7051 , NaN
3.685 , -267.3021 , NaN
3.69 , -285.3171 , NaN
3.695 , -296.3064 , NaN
3.7 , -300 , NaN
3.705 , -296.3064 , NaN
3.71 , -285.3171 , NaN
3.715 , -267.3021 , NaN
3.72 , -242.7051 , NaN
3.725 , -212.1321 , NaN
3.73 , -176.3355 , NaN
3.735 , -136.197 , NaN
3.74 , -92.7051 , NaN
3.745 , -46.9302 , NaN
3.75 , 0 , NaN
3.755 , 46.9302 , NaN
3.76 , 92.7051 , NaN
3.765 , 136.197 , NaN
3.77 , 176.3355 , NaN
3.775 , 212.1321 , NaN
3.78 , 242.7051 , NaN
3.785 , 267.3021 , NaN
3.79 , 285.3171 , NaN
3.795 , 296.3064 , NaN
3.8 , 300 , NaN
3.805 , 296.3064 , NaN
3.81 , 285.3171 , NaN
3.815 , 267.3021 , NaN
3.82 , 242.7051 , NaN
3.825 , 212.1321 , NaN
3.83 , 176.3355 , NaN
3.835 , 136.197 , NaN
3.84 , 92.7051 , NaN
3.845 , 46.9302 , NaN
3.85 , 0 , NaN
3.855 , -46.9302 , NaN
3.86 , -92.7051 , NaN
3.865 , -136.197 , NaN
3.87 , -176.3355 , NaN
3.875 , -212.1321 , NaN
3.88 , -242.7051 , NaN
3.885 , -267.3021 , NaN
3.89 , -285.3171 , NaN
3.895 , -296.3064 , NaN
3.9 , -300 , NaN
3.905 , -296.3064 , NaN
3.91 , -285.3171 , NaN
3.915 , -267.3021 , NaN
3.92 , -242.7051 , NaN
3.925 , -212.1321 , NaN
3.93 , -176.3355 , NaN
3.935 , -136.197 , NaN
3.94 , -92.7051 , NaN
3.945 , -46.9302 , NaN
3.95 , 0 , NaN
3.955 , 46.9302 , NaN
3.96 , 92.7051 , NaN
3.965 , 136.197 , NaN
3.97 , 176.3355 , NaN
3.975 , 212.1321 , NaN
3.98 , 242.7051 , NaN
3.985 , 267.3021 , NaN
3.99 , 285.3171 , NaN
3.995 , 296.3064 , NaN
4 , 300 , NaN
4.005 , 296.3064 , NaN
4.01 , 285.3171 , NaN
4.015 , 267.3021 , NaN
4.02 , 242.7051 , NaN
4.025 , 212.1321 , NaN
4.03 , 176.3355 , NaN
4.035 , 136.197 , NaN
4.04 , 92.7051 , NaN
4.045 , 46.9302 , NaN
4.05 , 0 , NaN
4.055 , -46.9302 , NaN
4.06 , -92.7051 , NaN
4.065 , -136.197 , NaN
4.07 , -176.3355 , NaN
4.075 , -212.1321 , NaN
4.08 , -242.7051 , NaN
4.085 , -267.3021 , NaN
4.09 , -285.3171 , NaN
4.095 , -296.3064 , NaN
4.1 , -300 , NaN
4.105 , -296.3064 , NaN
4.11 , -285.3171 , NaN
4.115 , -267.3021 , NaN
4.12 , -242.7051 , NaN
4.125 , -212.1321 , NaN
4.13 , -176.3355 , NaN
4.135 , -136.197 , NaN
4.14 , -92.7051 , NaN
4.145 , -46.9302 , NaN
4.15 , 0 , NaN
4.155 , 46.9302 , NaN
4.16 , 92.7051 , NaN
4.165 , 136.197 , NaN
4.17 , 176.3355 , NaN
4.175 , 212.1321 , NaN
4.18 , 242.7051 , NaN
4.185 , 267.3021 , NaN
4.19 , 285.3171 , NaN
4.195 , 296.3064 , NaN
4.2 , 300 , NaN
4.205 , 296.3064 , NaN
4.21 , 285.3171 , NaN
4.215 , 267.3021 , NaN
4.22 , 242.7051 , NaN
4.225 , 212.1321 , NaN
4.23 , 176.3355 , NaN
4.235 , 136.197 , NaN
4.24 , 92.7051 , NaN
4.245 , 46.9302 , NaN
4.25 , 0 , NaN
4.255 , -46.9302 , NaN
4.26 , -92.7051 , NaN
4.265 , -136.197 , NaN
4.27 , -176.3355 , NaN
4.275 , -212.1321 , NaN
4.28 , -242.7051 , NaN
4.285 , -267.3021 , NaN
4.29 , -285.3171 , NaN
4.295 , -296.3064 , NaN
4.3 , -300 , NaN
4.305 , -296.3064 , NaN
4.31 , -285.3171 , NaN
4.315 , -267.3021 , NaN
4.32 , -242.7051 , NaN
4.325 , -212.1321 , NaN
4.33 , -176.3355 , NaN
4.335 , -136.197 , NaN
4.34 , -92.7051 , NaN
4.345 , -46.9302 , NaN
4.35 , 0 , NaN
4.355 , 46.9302 , NaN
4.36 , 92.7051 , NaN
